Date,TMP
1/1973,21.66
2/1973,24.26
3/1973,22.95
4/1973,28.52
5/1973,34.71
6/1973,38.52
7/1973,39.27
8/1973,38.31
9/1973,38.40
10/1973,34.98
11/1973,28.15
12/1973,25.48
1/1974,22.13
2/1974,25.55
3/1974,28.15
4/1974,32.00
5/1974,34.69
6/1974,39.23
7/1974,36.76
8/1974,37.92
9/1974,36.92
10/1974,32.56
11/1974,26.33
12/1974,20.63
1/1975,22.42
2/1975,23.64
3/1975,26.27
4/1975,27.52
5/1975,32.45
6/1975,37.98
7/1975,36.50
8/1975,37.58
9/1975,37.02
10/1975,33.79
11/1975,30.43
12/1975,24.58
1/1976,26.34
2/1976,25.41
3/1976,26.87
4/1976,29.02
5/1976,33.52
6/1976,39.05
7/1976,36.63
8/1976,38.08
9/1976,32.80
10/1976,30.94
11/1976,27.25
12/1976,23.03
1/1977,21.63
2/1977,27.45
3/1977,24.58
4/1977,30.63
5/1977,32.27
6/1977,39.17
7/1977,38.35
8/1977,37.11
9/1977,36.37
10/1977,32.58
11/1977,29.07
12/1977,26.56
1/1978,22.44
2/1978,23.18
3/1978,27.10
4/1978,29.15
5/1978,33.21
6/1978,39.23
7/1978,38.61
8/1978,36.98
9/1978,35.27
10/1978,33.40
11/1978,24.50
12/1978,21.71
1/1979,20.35
2/1979,22.95
3/1979,25.34
4/1979,30.57
5/1979,32.24
6/1979,38.37
7/1979,38.92
8/1979,36.34
9/1979,38.70
10/1979,34.50
11/1979,26.98
12/1979,25.05
1/1980,24.32
2/1980,26.22
3/1980,25.48
4/1980,30.03
5/1980,31.85
6/1980,39.73
7/1980,39.58
8/1980,36.32
9/1980,37.58
10/1980,32.97
11/1980,28.72
12/1980,26.45
1/1981,23.73
2/1981,27.48
3/1981,25.71
4/1981,32.57
5/1981,34.35
6/1981,39.63
7/1981,38.74
8/1981,40.06
9/1981,37.63
10/1981,32.73
11/1981,30.97
12/1981,27.42
1/1982,23.63
2/1982,27.34
3/1982,28.24
4/1982,33.58
5/1982,34.19
6/1982,39.38
7/1982,39.56
8/1982,39.90
9/1982,38.37
10/1982,34.81
11/1982,26.63
12/1982,22.44
1/1983,23.83
2/1983,24.54
3/1983,26.48
4/1983,28.63
5/1983,36.18
6/1983,39.08
7/1983,40.84
8/1983,37.40
