Year,Mean_Precip
1961,0.8
1962,1
1963,0.7
1964,0.9
1965,1
1966,0.9
1967,0.7
1968,0.8
1969,0.9
1970,0.8
1971,1.1
1972,0.5
1973,0.6
1974,0.8
1975,0.7
1976,0.8
1977,0.8
1978,0.9
1979,0.8
1980,0.7
1981,0.8
1982,0.6
1983,1.2
1984,1.3
1985,1
1986,1.2
1987,0.7
1988,1.1
1989,0.8
1990,1.4
1991,0.9
1992,1.5
1993,1.4
1994,1.4
1995,1
1996,0.9
1997,1.2
1998,0.9
1999,1
2000,1.6
2001,0.9
2002,1.3
2003,1.2
2004,0.9
2005,0.9
2006,1.7
2007,1.1
2008,1.2
2009,0.6
2010,0.8
2011,1
2012,1.1
2013,1.4
2014,1.3
2015,1.8
2016,0.9
2017,1.3
2018,1.1
2019,1
2020,1.3
